Date,M3,M3 (Excluding Merger),1.1 Currency with the Public,1.2 Demand Deposits with Banks,1.3 Time Deposits with Banks,1.3 Time Deposits with Banks (Excluding Merger),1.4 ‘Other’ Deposits with Reserve Bank,2.1 Net Bank Credit to Government,2.1 Net Bank Credit to Government (Excluding Merger),2.1.1 Reserve Bank,2.1.2 Other Banks,2.1.2 Other Banks (Excluding Merger),2.2 Bank Credit to Commercial Sector,2.2 Bank Credit to Commercial Sector (Excluding Merger),2.2.1 Reserve Bank,2.2.2 Other Banks,2.2.2 Other Banks (Excluding Merger),2.3 Net Foreign Exchange Assets of Banking Sector,2.4 Government's Currency Liabilities to the Public,2.5 Banking Sectors Net Non-Monetary Liabilities,2.5 Banking Sectors Net Non-Monetary Liabilities (Excluding Merger),2.5.1 Net Non-Monetary Liabilities of RBI,
20-Jul-18,"1,40,72,866",,"18,58,934","12,75,906","1,09,15,025",,"23,001","43,31,366",,"6,62,484","36,68,882",,"92,00,629",,"9,556","91,91,073",,"29,09,098","25,701","23,93,716",,"10,32,401",
06-Jul-18,"1,41,28,810",,"18,62,495","12,97,812","1,09,44,094",,"24,410","44,01,559",,"7,26,834","36,74,725",,"92,47,083",,"9,359","92,37,724",,"29,14,771","25,703","24,60,090",,"10,35,119",
22-Jun-18,"1,40,03,227",,"18,76,761","12,89,848","1,08,14,101",,"22,516","42,21,002",,"6,18,839","36,02,163",,"92,02,684",,"9,539","91,93,145",,"28,83,642","25,714","23,29,605",,"9,78,787",
08-Jun-18,"1,40,56,195",,"18,73,187","12,75,814","1,08,83,944",,"23,251","43,38,289",,"6,89,955","36,48,334",,"91,85,162",,"8,938","91,76,224",,"29,50,862","25,705","24,43,612",,"9,79,175",
25-May-18,"1,39,84,478",,"18,53,793","12,83,165","1,08,20,655",,"26,865","42,03,768",,"6,23,400","35,80,368",,"91,24,881",,"9,448","91,15,433",,"29,76,167","25,701","23,45,824",,"9,98,988",
11-May-18,"1,39,74,411",,"18,58,178","12,72,432","1,08,21,940",,"21,862","42,01,053",,"6,04,981","35,96,072",,"91,07,896",,"9,504","90,98,392",,"29,68,385","25,689","23,28,400",,"9,68,180",
27-Apr-18,"1,39,81,647",,"18,24,876","13,30,927","1,08,03,833",,"22,011","41,66,762",,"6,00,134","35,66,628",,"91,03,294",,"9,247","90,94,047",,"29,64,359","25,677","22,78,234",,"9,63,129",
13-Apr-18,"1,39,14,187",,"18,09,379","12,95,397","1,07,86,666",,"22,746","42,07,524",,"6,18,233","35,89,291",,"90,31,319",,"8,802","90,22,517",,"29,39,683","25,653","22,89,783",,"9,24,557",
31-Mar-18,"1,39,62,587",,"17,59,712","14,83,712","1,06,95,255",,"23,907","40,01,399",,"4,75,964","35,25,435",,"92,13,716",,"14,025","91,99,691",,"29,22,503","25,652","22,00,475",,"9,07,198",
30-Mar-18,"1,39,66,008",,"17,60,436","14,83,712","1,06,95,255",,"26,604","39,90,982",,"4,65,547","35,25,435",,"92,13,716",,"14,025","91,99,691",,"29,21,399","25,652","21,85,533",,"8,98,406",
16-Mar-18,"1,36,35,044",,"17,53,273","12,87,734","1,05,73,060",,"20,978","39,90,697",,"4,49,303","35,41,394",,"89,28,983",,"9,188","89,19,795",,"28,67,308","25,638","21,77,376",,"8,95,605",
02-Mar-18,"1,36,27,757",,"17,20,327","12,74,047","1,06,12,552",,"20,831","40,62,214",,"4,46,030","36,16,184",,"88,98,366",,"8,785","88,89,581",,"28,77,655","25,638","22,35,911",,"9,06,895",
16-Feb-18,"1,34,78,992",,"17,07,194","12,40,922","1,05,10,781",,"20,095","40,25,700",,"4,16,710","36,08,990",,"87,97,345",,"7,938","87,89,407",,"28,28,329","25,638","21,97,817",,"8,72,068",
02-Feb-18,"1,34,96,389",,"16,68,506","12,52,681","1,05,54,142",,"21,059","40,58,179",,"4,40,740","36,17,439",,"88,09,654",,"7,347","88,02,307",,"28,36,297","25,621","22,33,160",,"8,81,181",
19-Jan-18,"1,33,63,234",,"16,60,742","12,24,957","1,04,51,549",,"25,986","40,29,379",,"4,60,158","35,69,221",,"87,17,919",,"6,952","87,10,967",,"27,77,801","25,621","21,87,289",,"8,61,019",
05-Jan-18,"1,33,54,527",,"16,33,301","12,30,106","1,04,67,618",,"23,503","41,00,602",,"5,04,874","35,95,728",,"87,36,164",,"8,088","87,28,076",,"27,41,569","25,598","22,49,212",,"8,33,459",
22-Dec-17,"1,32,08,681",,"16,16,423","12,47,010","1,03,22,357",,"22,892","39,28,592",,"3,86,839","35,41,753",,"86,41,928",,"8,694","86,33,234",,"27,28,589","25,598","21,15,831",,"8,55,986",
08-Dec-17,"1,32,14,984",,"16,06,594","12,11,343","1,03,73,814",,"23,233","40,93,330",,"5,28,704","35,64,626",,"85,69,833",,"7,700","85,62,133",,"27,11,058","25,567","21,84,608",,"8,63,427",
24-Nov-17,"1,31,47,309",,"15,81,552","12,26,598","1,03,16,236",,"22,923","40,03,974",,"4,47,414","35,56,560",,"85,12,467",,"8,059","85,04,408",,"27,20,854","25,567","21,15,357",,"8,85,534",
10-Nov-17,"1,31,83,234",,"15,72,524","12,27,571","1,03,60,489",,"22,650","40,85,617",,"4,99,676","35,85,941",,"85,01,784",,"7,794","84,93,990",,"27,22,156","25,537","21,51,665",,"8,83,561",
27-Oct-17,"1,31,15,316",,"15,48,559","12,53,869","1,02,90,406",,"22,483","40,29,315",,"4,92,281","35,37,034",,"84,55,652",,"8,184","84,47,468",,"27,22,869","25,537","21,17,861",,"8,88,521",
13-Oct-17,"1,31,27,718",,"15,33,161","12,48,028","1,03,24,038",,"22,491","41,00,972",,"5,42,556","35,58,416",,"84,33,058",,"7,268","84,25,790",,"27,26,592","25,481","21,58,187",,"8,94,050",
29-Sep-17,"1,31,84,330",,"14,97,032","13,50,315","1,03,11,296",,"25,687","40,77,304",,"5,42,893","35,34,411",,"85,51,982",,"7,436","85,44,546",,"27,35,664","25,481","22,05,901",,"9,05,736",
15-Sep-17,"1,29,23,733",,"15,04,804","12,28,942","1,01,71,417",,"18,570","40,89,851",,"5,59,447","35,30,404",,"83,22,061",,"7,565","83,14,496",,"26,91,523","25,420","22,04,927",,"8,71,665",
01-Sep-17,"1,29,40,181",,"14,80,886","12,23,237","1,02,17,124",,"18,935","41,85,560",,"6,42,086","35,43,474",,"83,13,263",,"7,388","83,05,875",,"26,59,843","25,420","22,43,712",,"8,51,256",
18-Aug-17,"1,28,82,658",,"14,89,646","12,17,566","1,01,54,963",,"20,484","41,57,039",,"6,44,829","35,12,210",,"82,49,835",,"7,533","82,42,302",,"26,34,459","25,378","21,83,859",,"8,42,547",
04-Aug-17,"1,29,43,861",,"14,76,057","12,30,172","1,02,18,420",,"19,212","41,92,929",,"7,00,073","34,92,856",,"82,69,969",,"7,423","82,62,546",,"26,20,026","25,378","21,64,249",,"8,60,771",
21-Jul-17,"1,28,08,104",,"14,69,494","12,01,383","1,01,19,266",,"17,962","41,14,537",,"6,46,265","34,68,272",,"82,28,338",,"6,873","82,21,465",,"26,29,311","25,314","21,89,203",,"8,81,238",
07-Jul-17,"1,28,30,410",,"14,66,610","11,99,878","1,01,45,792",,"18,130","41,85,181",,"7,17,885","34,67,296",,"82,47,002",,"6,248","82,40,754",,"26,12,703","25,314","22,39,599",,"8,77,113",
23-Jun-17,"1,27,58,460",,"14,52,653","12,28,176","1,00,57,455",,"20,176","40,93,630",,"6,67,269","34,26,361",,"82,04,945",,"6,925","81,98,020",,"25,81,048","25,314","21,46,288",,"8,53,133",
09-Jun-17,"1,27,31,617",,"14,46,729","11,77,933","1,00,88,996",,"17,960","41,26,230",,"6,83,593","34,42,637",,"82,00,033",,"6,995","81,93,038",,"26,09,741","25,243","22,29,443",,"8,39,975",
26-May-17,"1,26,71,722",,"14,13,312","11,90,910","1,00,49,726",,"17,775","41,04,940",,"6,86,700","34,18,240",,"81,35,655",,"6,641","81,29,014",,"26,05,659","25,243","21,99,585",,"8,46,213",
12-May-17,"1,27,49,472",,"14,06,062","12,13,859","1,01,11,798",,"17,753","41,08,965",,"6,65,180","34,43,785",,"81,58,776",,"5,648","81,53,128",,"25,73,079","25,162","21,16,324",,"8,23,867",
28-Apr-17,"1,26,83,877",,"13,62,193","12,31,069","1,00,72,951",,"17,664","41,07,603",,"7,19,632","33,87,971",,"81,48,157",,"5,372","81,42,785",,"25,54,481","25,162","21,51,340",,"8,23,073",
14-Apr-17,"1,26,29,927",,"13,29,431","12,00,998","1,00,78,221",,"21,276","40,76,202",,"7,09,723","33,66,479",,"81,67,225",,"5,425","81,61,800",,"25,39,809","25,085","21,78,212",,"8,12,277",
31-Mar-17,"1,27,91,940",,"12,64,124","13,96,741","1,01,09,983",,"21,091","38,56,607",,"6,20,811","32,35,796",,"84,11,492",,"7,291","84,04,201",,"25,58,417","25,085","20,59,476",,"8,33,530",
17-Mar-17,"1,24,59,614",,"12,14,077","12,64,716","99,64,827",,"15,994","39,99,067",,"5,95,974","34,03,093",,"81,02,897",,"4,679","80,98,218",,"24,99,605","24,946","21,66,712",,"8,57,290",
03-Mar-17,"1,23,83,676",,"11,32,267","11,85,952","1,00,47,267",,"18,190","41,61,298",,"6,34,097","35,27,201",,"80,50,289",,"3,788","80,46,501",,"25,28,288","24,946","23,80,953",,"8,95,355",
17-Feb-17,"1,22,62,335",,"10,64,488","11,70,900","1,00,11,315",,"15,632","40,29,677",,"4,92,171","35,37,506",,"80,19,926",,"4,767","80,15,159",,"25,29,106","24,946","23,41,124",,"9,19,494",
03-Feb-17,"1,22,48,539",,"9,81,555","11,76,534","1,00,74,856",,"15,594","40,58,129",,"3,82,869","36,75,260",,"80,05,258",,"4,937","80,00,321",,"25,43,344","24,809","23,82,803",,"9,37,844",
20-Jan-17,"1,21,06,737",,"9,13,480","11,67,925","1,00,09,804",,"15,528","39,19,403",,"1,39,083","37,80,320",,"79,38,360",,"4,937","79,33,423",,"25,51,683","24,809","23,27,318",,"9,48,465",
06-Jan-17,"1,21,04,266",,"8,25,859","11,84,295","1,00,78,566",,"15,546","38,56,158",,"19,159","38,36,999",,"79,32,935",,"4,937","79,27,998",,"25,36,082","24,615","22,45,328",,"9,30,153",
23-Dec-16,"1,20,05,779",,"7,85,859","11,93,454","1,00,11,207",,"15,260","38,11,185",,"3,662","38,07,523",,"78,65,394",,"5,437","78,59,957",,"25,38,714","24,615","22,33,934",,"9,47,146",
09-Dec-16,"1,20,85,610",,"7,83,257","11,91,982","1,00,94,954",,"15,417","39,50,369",,"4,74,391","34,75,978",,"78,59,625",,"6,424","78,53,201",,"26,40,477","24,181","23,88,845",,"9,49,587",
25-Nov-16,"1,21,31,388",,"8,96,256","11,91,784","1,00,28,268",,"15,080","40,37,635",,"6,09,263","34,28,372",,"78,07,674",,"5,167","78,02,507",,"26,83,774","24,181","24,21,675",,"9,64,501",
11-Nov-16,"1,23,37,478",,"15,20,565","10,70,444","97,26,178",,"20,291","37,26,994",,"6,46,781","30,80,213",,"78,76,717",,"7,978","78,68,739",,"26,43,815","23,513","19,33,362",,"9,19,545",
28-Oct-16,"1,23,64,909",,"17,02,210","10,40,535","96,06,201",,"15,962","37,26,354",,"6,47,265","30,79,089",,"79,45,731",,"7,367","79,38,364",,"26,36,636","23,513","19,67,128",,"9,08,822",
14-Oct-16,"1,23,42,782",,"16,99,442","10,26,422","95,98,847",,"18,070","37,22,201",,"6,54,694","30,67,507",,"78,96,983",,"7,428","78,89,555",,"26,27,409","23,273","19,26,884",,"9,11,065",
30-Sep-16,"1,24,89,994",,"16,56,478","11,53,471","96,61,443",,"18,601","37,51,951",,"6,99,649","30,52,302",,"80,60,796",,"6,686","80,54,110",,"26,58,843","23,273","20,04,667",,"9,28,894",
16-Sep-16,"1,21,51,978",,"16,88,695","10,37,480","94,11,402",,"14,401","36,28,603",,"6,08,461","30,20,142",,"78,46,207",,"7,713","78,38,494",,"26,12,654","22,971","19,58,253",,"9,22,718",
02-Sep-16,"1,21,92,007",,"16,60,787","10,29,182","94,87,517",,"14,521","37,98,094",,"7,38,544","30,59,550",,"78,60,113",,"6,877","78,53,236",,"25,98,683","22,971","20,87,651",,"9,29,362",
19-Aug-16,"1,20,75,664",,"16,73,879","9,95,411","93,92,376",,"13,998","36,97,383",,"6,93,134","30,04,249",,"78,11,326",,"7,092","78,04,234",,"25,97,563","22,971","20,53,373",,"9,32,279",
05-Aug-16,"1,20,95,688",,"16,64,602","9,99,165","94,17,969",,"13,952","37,95,712",,"7,56,904","30,38,808",,"78,32,723",,"6,866","78,25,857",,"25,84,474","22,792","21,39,811",,"9,85,021",
22-Jul-16,"1,20,06,481",,"16,62,165","9,73,024","93,57,699",,"13,592","36,83,761",,"6,99,623","29,84,138",,"78,10,320",,"7,586","78,02,734",,"25,75,489","22,792","20,85,679",,"9,72,019",
08-Jul-16,"1,20,17,982",,"16,78,559","9,62,530","93,63,429",,"13,464","36,83,954",,"7,06,180","29,77,774",,"78,27,363",,"6,330","78,21,033",,"25,80,605","22,605","20,96,340",,"9,78,028",
24-Jun-16,"1,19,24,041",,"16,61,892","9,90,150","92,58,745",,"13,254","36,01,603",,"6,60,458","29,41,145",,"77,91,447",,"7,526","77,83,921",,"25,89,465","22,605","20,80,870",,"10,00,712",
10-Jun-16,"1,19,05,501",,"16,77,279","9,65,734","92,49,130",,"13,357","36,34,666",,"6,94,653","29,40,013",,"77,85,006",,"7,690","77,77,316",,"25,66,203","22,376","21,02,544",,"9,76,120",
27-May-16,"1,18,90,102",,"16,60,326","9,81,036","92,35,437",,"13,303","35,56,330",,"6,30,133","29,26,197",,"77,90,037",,"7,581","77,82,456",,"25,57,552","22,376","20,35,986",,"9,79,939",
13-May-16,"1,18,80,219",,"16,76,804","9,47,450","92,42,768",,"13,197","35,06,985",,"6,15,224","28,91,761",,"77,84,203",,"8,131","77,76,072",,"25,53,594","22,137","19,86,495",,"9,66,835",
29-Apr-16,"1,18,86,047",,"16,48,625","10,09,360","92,14,750",,"13,312","35,01,586",,"6,16,850","28,84,736",,"77,91,437",,"8,269","77,83,168",,"25,59,232","22,137","19,88,138",,"9,71,804",
15-Apr-16,"1,18,47,089",,"16,53,297","10,07,841","91,72,058",,"13,893","35,22,566",,"6,27,343","28,95,223",,"77,89,863",,"8,335","77,81,528",,"25,37,493","21,905","20,24,534",,"9,54,410",
01-Apr-16,"1,19,67,064",,"15,95,209","11,79,798","91,76,973",,"15,084","31,98,641",,"4,25,334","27,73,307",,"80,70,676",,"20,083","80,50,593",,"25,31,160","21,905","18,55,115",,"9,51,581",
31-Mar-16,"1,16,17,615",,"15,97,254","9,89,834","90,15,077",,"15,451","32,38,484",,"4,24,995","28,13,489",,"78,03,069",,"20,083","77,82,986",,"25,33,926","21,905","19,79,565",,"9,54,376",
18-Mar-16,"1,16,20,384",,"15,93,537","9,90,638","90,22,691",,"13,518","32,45,963",,"4,29,903","28,16,060",,"78,07,902",,"8,694","77,99,208",,"25,13,123","21,905","19,68,305",,"9,53,023",
04-Mar-16,"1,16,12,933",,"15,69,385","9,57,659","90,73,017",,"12,873","34,32,889",,"5,24,637","29,08,252",,"77,76,007",,"7,848","77,68,159",,"24,61,423","21,720","20,78,902",,"9,56,007",
19-Feb-16,"1,15,60,894",,"15,58,727","9,39,692","90,35,346",,"27,129","33,38,902",,"4,44,477","28,94,425",,"76,99,949",,"8,023","76,91,926",,"24,94,028","21,720","19,93,495",,"9,77,897",
05-Feb-16,"1,15,28,649",,"15,36,754","9,39,796","90,39,449",,"12,650","34,18,968",,"4,85,748","29,33,220",,"76,75,504",,"6,473","76,69,031",,"24,67,094","21,514","20,54,397",,"9,51,239",
22-Jan-16,"1,14,20,315",,"15,17,275","9,11,612","89,78,769",,"12,660","32,92,498",,"4,08,665","28,83,833",,"76,06,593",,"6,964","75,99,629",,"24,41,624","21,514","19,41,881",,"9,21,797",
08-Jan-16,"1,14,09,355",,"15,09,901","9,19,800","89,65,084",,"14,569","33,35,606",,"4,29,410","29,06,196",,"75,93,771",,"7,048","75,86,723",,"24,17,892","21,306","19,59,189",,"8,94,705",
25-Dec-15,"1,13,04,486",,"14,99,748","9,44,062","88,46,332",,"14,344","32,54,922",,"3,93,214","28,61,708",,"75,27,955",,"6,456","75,21,499",,"24,25,040","21,306","19,24,706",,"9,00,422",
11-Dec-15,"1,13,12,039",,"15,02,680","9,25,057","88,69,510",,"14,792","33,80,254",,"4,70,462","29,09,792",,"74,78,914",,"6,626","74,72,288",,"24,62,858","21,142","20,31,097",,"9,23,664",
27-Nov-15,"1,12,25,142",,"14,81,211","9,26,377","88,02,517",,"15,037","33,10,991",,"4,49,805","28,61,186",,"73,78,404",,"7,088","73,71,316",,"24,52,993","21,142","19,38,358",,"9,17,772",
13-Nov-15,"1,12,24,180",,"15,07,788","9,01,785","87,99,690",,"14,918","32,98,968",,"4,48,450","28,50,518",,"73,49,847",,"6,804","73,43,043",,"24,40,203","20,918","18,85,725",,"9,02,619",
30-Oct-15,"1,11,97,261",,"14,44,991","9,42,682","87,94,226",,"15,363","32,80,293",,"4,41,406","28,38,887",,"73,26,810",,"6,740","73,20,070",,"24,20,086","20,918","18,50,816",,"8,82,203",
16-Oct-15,"1,11,19,372",,"14,47,876","8,89,269","87,67,545",,"14,682","32,80,444",,"4,61,820","28,18,624",,"72,93,044",,"6,340","72,86,704",,"24,13,865","20,649","18,88,599",,"8,86,118",
02-Oct-15,"1,11,78,679",,"14,15,213","9,36,941","88,10,292",,"16,233","33,39,359",,"4,92,036","28,47,323",,"73,38,529",,"6,553","73,31,976",,"24,14,310","20,649","19,34,137",,"8,87,703",
18-Sep-15,"1,09,90,293",,"14,34,045","8,99,514","86,41,226",,"15,508","32,26,057",,"4,20,204","28,05,853",,"72,13,568",,"6,547","72,07,021",,"24,34,414","20,649","19,04,362",,"8,98,772",
04-Sep-15,"1,10,49,101",,"14,23,435","9,11,067","86,99,071",,"15,527","34,11,126",,"5,63,440","28,47,686",,"71,95,600",,"4,825","71,90,775",,"24,12,372","20,452","19,90,417",,"8,95,677",
21-Aug-15,"1,09,79,536",,"14,23,316","9,02,077","86,39,013",,"15,131","33,05,531",,"4,71,339","28,34,192",,"71,63,352",,"5,510","71,57,842",,"24,25,018","20,452","19,34,784",,"8,99,701",
07-Aug-15,"1,09,59,808",,"14,26,747","8,89,187","86,28,682",,"15,192","33,75,850",,"5,48,860","28,26,990",,"71,67,626",,"5,042","71,62,584",,"23,49,837","20,240","19,53,719",,"8,88,827",
24-Jul-15,"1,09,07,693",,"14,24,705","8,87,274","85,75,646",,"20,068","32,84,650",,"4,85,378","27,99,272",,"71,52,129",,"4,615","71,47,514",,"23,53,753","20,240","19,03,053",,"8,60,087",
10-Jul-15,"1,09,06,449",,"14,39,263","8,75,843","85,80,282",,"11,061","32,98,272",,"5,00,244","27,98,027",,"71,58,783",,"4,378","71,54,404",,"23,42,325","19,996","19,12,900",,"8,49,400",
26-Jun-15,"1,08,11,167",,"14,30,991","9,04,845","84,66,284",,"9,048","32,04,615",,"4,44,354","27,60,261",,"71,49,279",,"6,328","71,42,951",,"23,54,711","19,996","19,17,407",,"8,69,568",
12-Jun-15,"1,08,10,064",,"14,62,442","8,86,417","84,50,812",,"10,393","32,60,841",,"4,76,521","27,84,320",,"71,75,818",,"6,458","71,69,360",,"23,78,507","19,796","20,24,871",,"8,81,574",
29-May-15,"1,08,18,049",,"14,46,218","9,08,800","84,51,747",,"11,284","31,90,803",,"4,23,557","27,67,246",,"71,19,528",,"6,425","71,13,103",,"23,58,534","19,796","18,70,587",,"8,57,192",
15-May-15,"1,07,80,792",,"14,61,928","8,78,701","84,30,378",,"9,785","31,75,534",,"4,19,657","27,55,877",,"71,11,871",,"6,198","71,05,673",,"23,61,420","19,549","18,87,553",,"8,79,348",
01-May-15,"1,08,25,430",,"14,30,890","9,26,069","84,56,442",,"12,028","31,55,845",,"4,29,827","27,26,018",,"71,57,570",,"6,058","71,51,512",,"23,48,796","19,549","18,56,303",,"8,60,409",
17-Apr-15,"1,07,31,909",,"14,32,164","8,94,627","83,95,895",,"9,223","31,72,088",,"4,54,923","27,17,165",,"70,82,949",,"6,375","70,76,574",,"22,53,074","19,549","17,95,728",,"7,99,936",
03-Apr-15,"1,08,77,767",,"13,87,615","10,40,051","84,35,297",,"14,804","30,92,176",,"4,03,802","26,88,375",,"73,14,786",,"14,847","72,99,939",,"22,59,016","19,429","18,07,617",,"8,02,507",
31-Mar-15,"1,05,50,168",,"13,86,182","8,91,632","82,57,764",,"14,590","30,07,394",,"3,64,523","26,42,871",,"70,49,724",,"14,847","70,34,877",,"22,50,672","19,429","17,77,029",,"7,85,296",
20-Mar-15,"1,05,44,015",,"13,86,224","8,91,607","82,57,220",,"8,965","30,06,735",,"3,64,002","26,42,733",,"70,39,897",,"5,465","70,34,432",,"22,32,610","19,428","17,54,633",,"7,97,256",
06-Mar-15,"1,05,01,962",,"13,85,419","8,81,828","82,25,610",,"9,106","31,87,261",,"4,82,653","27,04,608",,"70,04,025",,"5,283","69,98,742",,"21,59,709","19,256","18,68,265",,"7,87,862",
20-Feb-15,"1,04,09,353",,"13,74,173","8,52,780","81,74,358",,"8,043","31,33,338",,"4,63,259","26,70,078",,"69,30,039",,"6,055","69,23,984",,"21,38,408","19,256","18,11,663",,"8,14,150",
06-Feb-15,"1,03,83,057",,"13,62,941","8,40,183","81,71,588",,"8,345","31,32,950",,"4,76,537","26,56,413",,"69,16,307",,"5,589","69,10,719",,"21,03,049","19,081","17,88,306",,"7,93,501",
23-Jan-15,"1,03,01,433",,"13,50,993","8,29,075","81,13,016",,"8,349","30,92,201",,"4,59,430","26,32,771",,"68,63,507",,"5,880","68,57,626",,"20,48,503","19,081","17,21,836",,"7,75,654",
09-Jan-15,"1,03,06,118",,"13,41,867","8,22,008","81,33,682",,"8,560","31,38,501",,"5,13,163","26,25,339",,"68,59,255",,"6,056","68,53,198",,"20,51,577","18,883","17,62,071",,"8,21,530",
26-Dec-14,"1,02,10,842",,"13,26,461","8,53,977","80,22,266",,"8,138","30,76,095",,"5,07,270","25,68,825",,"68,12,215",,"5,746","68,06,468",,"20,83,746","18,883","17,80,066",,"8,61,363",
12-Dec-14,"1,01,69,436",,"13,36,331","8,18,915","80,05,948",,"8,242","31,53,192",,"5,65,855","25,87,337",,"67,64,540",,"4,771","67,59,769",,"20,54,735","18,740","18,21,741",,"8,39,178",
28-Nov-14,"1,01,65,697",,"13,09,125","8,52,043","79,95,800",,"8,727","31,14,117",,"5,56,815","25,57,301",,"67,44,008",,"4,214","67,39,794",,"20,36,195","18,740","17,47,334",,"8,31,644",
14-Nov-14,"1,01,18,420",,"13,21,581","8,23,899","79,64,929",,"8,011","31,26,715",,"5,83,620","25,43,095",,"67,11,886",,"4,976","67,06,910",,"20,22,998","18,612","17,61,763",,"8,28,904",
31-Oct-14,"1,01,20,226",,"13,00,517","8,40,722","79,70,920",,"8,066","31,08,212",,"5,65,986","25,42,226",,"67,37,347",,"7,679","67,29,668",,"20,18,682","18,612","17,62,598",,"8,22,587",
17-Oct-14,"1,00,56,706",,"13,04,469","8,26,320","79,18,547",,"7,370","31,00,811",,"5,59,264","25,41,547",,"66,78,431",,"7,715","66,70,716",,"20,10,496","18,417","17,51,418",,"8,31,175",
03-Oct-14,"1,01,14,311",,"12,85,431","8,66,052","79,54,511",,"8,317","31,45,641",,"6,05,234","25,40,406",,"67,28,938",,"9,796","67,19,142",,"20,00,273","18,417","17,78,927",,"8,21,496",
19-Sep-14,"99,31,701",,"12,87,838","8,19,300","78,17,460",,"7,103","30,29,460",,"5,22,727","25,06,733",,"66,04,737",,"8,538","65,96,199",,"19,99,086","18,417","17,19,969",,"8,20,378",
05-Sep-14,"99,68,453",,"12,91,207","8,28,407","78,41,948",,"6,892","31,47,386",,"5,88,133","25,59,253",,"65,87,110",,"5,866","65,81,244",,"19,99,092","18,265","17,83,370",,"8,18,652",
22-Aug-14,"98,84,810",,"12,92,407","8,11,458","77,74,415",,"6,530","30,14,164",,"5,16,549","24,97,615",,"65,73,893",,"11,115","65,62,778",,"20,05,823","18,265","17,27,304",,"8,26,953",
08-Aug-14,"98,99,708",,"13,01,197","8,06,596","77,85,564",,"6,351","30,53,157",,"5,54,856","24,98,301",,"65,79,520",,"10,335","65,69,186",,"20,39,222","18,056","17,90,213",,"9,12,077",
25-Jul-14,"98,18,913",,"12,93,647","8,05,748","77,11,383",,"8,135","29,79,650",,"5,28,253","24,51,397",,"65,64,709",,"11,499","65,53,210",,"20,09,600","18,056","17,53,071",,"8,75,172",
11-Jul-14,"98,37,316",,"13,13,007","8,06,004","77,10,825",,"7,480","30,06,956",,"5,68,077","24,38,879",,"65,72,001",,"11,181","65,60,820",,"19,88,955","17,889","17,48,452",,"8,71,731",
27-Jun-14,"97,74,040",,"13,02,004","8,44,987","76,26,367",,683,"30,88,397",,"6,64,524","24,23,873",,"65,67,702",,"8,111","65,59,591",,"19,69,605","17,889","18,69,520",,"8,64,791",
13-Jun-14,"97,50,698",,"13,29,304","8,17,645","76,02,144",,"1,604","31,22,743",,"7,03,810","24,18,933",,"65,31,555",,"7,805","65,23,750",,"19,60,624","17,698","18,81,892",,"8,38,203",
30-May-14,"97,66,351",,"13,09,199","8,46,068","76,08,966",,"2,119","30,98,958",,"6,69,949","24,29,009",,"65,11,544",,"8,291","65,03,253",,"19,43,896","17,698","18,05,716",,"8,26,691",
16-May-14,"97,03,640",,"13,21,573","8,13,614","75,65,834",,"2,619","30,77,452",,"6,50,286","24,27,166",,"64,83,163",,"7,898","64,75,265",,"19,53,815","17,477","18,28,237",,"8,21,322",
02-May-14,"97,07,922",,"12,93,628","8,36,449","75,75,828",,"2,016","30,56,978",,"6,38,657","24,18,321",,"65,08,551",,"8,990","64,99,561",,"19,73,826","17,477","18,48,877",,"8,56,256",
18-Apr-14,"96,87,535",,"12,90,928","8,27,357","75,66,907",,"2,344","30,55,077",,"6,56,875","23,98,201",,"64,76,927",,"8,990","64,67,937",,"19,63,063","17,477","18,24,976",,"8,62,550",
04-Apr-14,"97,16,298",,"12,53,146","8,57,231","76,03,745",,"2,177","30,23,008",,"6,20,193","24,02,815",,"65,23,273",,"8,561","65,14,712",,"19,44,877","17,339","17,92,166",,"8,51,624",
31-Mar-14,"95,17,386",,"12,45,819","8,11,978","74,57,624",,"1,965","30,44,870",,"6,98,708","23,46,162",,"64,45,296",,"8,839","64,36,457",,"19,23,980","17,339","19,14,067",,"8,43,351",
21-Mar-14,"95,19,361",,"12,53,390","8,09,374","74,54,840",,"1,757","30,02,016",,"6,55,988","23,46,028",,"64,52,101",,"8,540","64,43,561",,"19,15,065","17,336","18,67,123",,"8,71,615",
07-Mar-14,"94,59,645",,"12,48,555","7,88,720","74,20,909",,"1,461","30,48,674",,"6,87,062","23,61,612",,"63,81,747",,"7,666","63,74,081",,"18,68,956","17,168","18,56,865",,"8,72,207",
21-Feb-14,"93,63,800",,"12,39,384","7,78,293","73,44,615",,"1,508","30,27,654",,"6,58,951","23,68,704",,"63,06,648",,"7,884","62,98,764",,"18,87,546","17,168","18,75,180",,"8,89,803",
07-Feb-14,"93,51,464",,"12,37,441","7,68,236","73,44,482",,"1,304","30,17,093",,"6,56,940","23,60,153",,"62,95,131",,"8,327","62,86,804",,"18,85,205","17,019","18,62,948",,"8,87,214",
24-Jan-14,"92,95,875",,"12,27,521","7,78,364","72,87,556",,"2,434","30,00,127",,"6,60,143","23,39,984",,"62,34,690",,"8,126","62,26,564",,"18,79,538","17,019","18,35,463",,"8,73,229",
10-Jan-14,"92,80,430",,"12,26,626","7,54,316","72,97,123",,"2,365","29,93,173",,"6,40,091","23,53,082",,"62,15,241",,"7,320","62,07,921",,"18,79,865","16,853","18,24,666",,"8,69,327",
